home_team,away_team,matches_played,home_wins,away_wins,draws,home_goals,away_goals
Mexico,South Africa,4,2,1,1,10.0,5.0
South Korea,Czech Republic,3,1,1,1,4.0,8.0
Canada,Bosnia and Herzegovina,0,0,0,0,0.0,0.0
United States,Paraguay,9,5,2,2,12.0,7.0
Qatar,Switzerland,1,1,0,0,1.0,0.0
Brazil,Morocco,3,2,1,0,6.0,2.0
Haiti,Scotland,0,0,0,0,0.0,0.0
Australia,Turkey,2,0,2,0,1.0,4.0
Germany,Curaçao,0,0,0,0,0.0,0.0
Ivory Coast,Ecuador,0,0,0,0,0.0,0.0
Netherlands,Japan,3,2,0,1,6.0,2.0
Sweden,Tunisia,4,2,1,1,3.0,2.0
Belgium,Egypt,4,1,3,0,4.0,7.0
Iran,New Zealand,2,1,0,1,3.0,0.0
Spain,Cape Verde,0,0,0,0,0.0,0.0
Saudi Arabia,Uruguay,3,1,1,1,4.0,4.0
France,Senegal,2,0,2,0,0.0,3.0
Iraq,Norway,0,0,0,0,0.0,0.0
Argentina,Algeria,1,1,0,0,4.0,3.0
Austria,Jordan,0,0,0,0,0.0,0.0
Portugal,DR Congo,0,0,0,0,0.0,0.0
Uzbekistan,Colombia,0,0,0,0,0.0,0.0
England,Croatia,11,6,3,2,22.0,13.0
Ghana,Panama,0,0,0,0,0.0,0.0
Czech Republic,South Africa,1,0,0,1,2.0,2.0
Mexico,South Korea,14,8,3,3,28.0,15.0
Switzerland,Bosnia and Herzegovina,1,0,1,0,0.0,2.0
Canada,Qatar,1,1,0,0,2.0,0.0
Scotland,Morocco,1,0,1,0,0.0,3.0
Brazil,Haiti,3,3,0,0,17.0,1.0
United States,Australia,4,2,1,1,5.0,3.0
Turkey,Paraguay,0,0,0,0,0.0,0.0
Germany,Ivory Coast,1,0,0,1,2.0,2.0
Ecuador,Curaçao,0,0,0,0,0.0,0.0
Netherlands,Sweden,25,11,8,6,47.0,48.0
Tunisia,Japan,5,1,4,0,3.0,6.0
Belgium,Iran,0,0,0,0,0.0,0.0
New Zealand,Egypt,3,0,2,1,1.0,3.0
Spain,Saudi Arabia,3,3,0,0,9.0,2.0
Uruguay,Cape Verde,0,0,0,0,0.0,0.0
France,Iraq,0,0,0,0,0.0,0.0
Norway,Senegal,1,0,1,0,1.0,2.0
Argentina,Austria,2,1,0,1,6.0,2.0
Jordan,Algeria,2,0,1,1,1.0,7.0
Portugal,Uzbekistan,0,0,0,0,0.0,0.0
Colombia,DR Congo,0,0,0,0,0.0,0.0
England,Ghana,1,0,0,1,1.0,1.0
Panama,Croatia,0,0,0,0,0.0,0.0
Mexico,Czech Republic,1,0,1,0,1.0,2.0
South Africa,South Korea,0,0,0,0,0.0,0.0
Canada,Switzerland,1,1,0,0,3.0,1.0
Bosnia and Herzegovina,Qatar,2,0,1,1,1.0,3.0
Scotland,Brazil,10,0,8,2,3.0,16.0
Morocco,Haiti,0,0,0,0,0.0,0.0
United States,Turkey,5,2,2,1,7.0,7.0
Paraguay,Australia,5,0,2,3,2.0,4.0
Curaçao,Ivory Coast,0,0,0,0,0.0,0.0
Ecuador,Germany,2,0,2,0,2.0,7.0
Japan,Sweden,4,0,1,3,4.0,5.0
Tunisia,Netherlands,3,0,1,2,3.0,7.0
Egypt,Iran,1,0,0,1,1.0,1.0
New Zealand,Belgium,0,0,0,0,0.0,0.0
Cape Verde,Saudi Arabia,0,0,0,0,0.0,0.0
Uruguay,Spain,10,0,5,5,8.0,16.0
Norway,France,16,5,7,4,22.0,22.0
Senegal,Iraq,0,0,0,0,0.0,0.0
Algeria,Austria,1,0,1,0,0.0,2.0
Jordan,Argentina,0,0,0,0,0.0,0.0
Colombia,Portugal,0,0,0,0,0.0,0.0
DR Congo,Uzbekistan,0,0,0,0,0.0,0.0
Panama,England,1,0,1,0,1.0,6.0
Croatia,Ghana,0,0,0,0,0.0,0.0
